The Matrix | Rustamji Institute of Technology | [1, 'kan(315)']
HelloWorldDobara | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1028)']
Shadow-walkers | Indian Institute of Technology Ropar | [1, 'kan(458)']
#includeNULL | Delhi Technological University | [1, 'amr(494)']
Codeblasters | Jaypee Institute of Information Technology | [1, 'kgp(388)']
The Mask | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1234)']
Thrones | Jaypee University of Engineering and Technology, Guna | [1, 'amr(1070)']
KnowledgeWorkers | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1169)']
Intellects | Karpagam College of Engineering, Coimbatore | [1, 'amr(564)']
sudo-coders | Birla Institute of Technology & Science Pilani, Hyderabad Campus | [1, 'kan(201)']
Trinity | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(379)']
Nazguls | Thapar University | [1, 'kan(217)']
de_Coders | National Institute of Technology Raipur | [1, 'kan(108)']
Green Coder | National Institute of Technology, Rourkela | [1, 'kan(345)']
NNT | Indian Institute of Technology Kanpur | [1, 'kan(253)']
pi_coder | Manipal Institute of Technology, Manipal | [1, 'amr(1339)']
LNMIIT 1 | The LNM Institute of Information Technology | [1, 'amr(727)']
Trinity1 | International Institute of Information Technology, Hyderabad | [1, 'kan(231)']
UCW | Birla Institute of Technology Mesra | [1, 'amr(557)']
nseven | Amrita School of Engineering, Coimbatore | [1, 'amr(1061)']
Code Crackers | Anil Neerukonda Institute of Technology and Sciences | [1, 'amr(997)']
puzzle_coders | YMCA University of Science and Technology, Faridabad | [1, 'amr(562)']
ASPIRANTS | Prasad V Potluri Siddhartha Institute of Technology | [1, 'amr(1308)']
Code Reapers | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(203)']
jamians | Jamia Millia Islamia | [1, 'amr(901)']
dotCfellows | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1198)']
four | Indian School of Mines | [1, 'kgp(395)']
VRSolvers | National Institute of Technology Raipur | [1, 'amr(854)']
divide&conquer | Indian Institute of Technology Delhi | [1, 'kan(16)']
BugCoders | Karpagam College of Engineering, Coimbatore | [1, 'amr(1406)']
D_Aryans | Department of Computer Science, Banaras Hindu University | [1, 'amr(963)']
cerebralists | B.S.Abdur Rahman University, Chennai | [1, 'amr(965)']
S.P.D. | Indian Institute of Technology Delhi | [1, 'kan(62)']
Codebuffs | Birla Institute Of Technology, Mesra, Deoghar Campus | [1, 'kgp(385)']
knightfury | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'kgp(45)']
NITR-Sparkles | National Institute of Technology, Rourkela | [1, 'kgp(293)']
NULL_POINTER | Bengal Engineering and Science University, Shibpur | [1, 'amr(1390)']
IO | National Institute Of Technology, Delhi | [1, 'kgp(362)']
3_bugs | International Institute of Information Technology, Hyderabad | [1, 'amr(842)']
Memory Misers | Institute of Engineering Technology, Ahmedabad | [1, 'kan(341)']
DarkCoders | Maharaja Agrasen Institute of Technology | [1, 'kgp(216)']
codeknights_3 | International Institute of Information Technology, Hyderabad | [1, 'amr(480)']
CodeBeginners | Sri Shakthi Institute of Engineering and Technology | [1, 'amr(1310)']
lazy_propagation | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(176)']
ASKEY | Hindustan University | [1, 'amr(1247)']
Robin Hoods | Karpagam College of Engineering, Coimbatore | [1, 'amr(1291)']
Whitespace | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(392)']
The Procrastinators | International Institute of Information Technology, Hyderabad | [1, 'amr(369)']
Rudra | Birla Institute of Technology, Patna | [1, 'amr(600)']
Back_Bench_Programmers | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1134)']
Insane Coders | The LNM Institute of Information Technology | [1, 'amr(714)']
Dodgers | Indian Institute of Information Technology, Allahabad | [1, 'amr(706)']
SUPERKODERS | Thapar University | [1, 'kan(189)']
bazinga | Delhi Technological University | [1, 'kan(95)']
while(true){} | Amrita School of Engineering, Coimbatore | [1, 'amr(937)']
wronganswer | College of Engineering, Guindy | [1, 'amr(631)']
visitors | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(434)']
dtucodebreakers | Delhi Technological University | [1, 'kan(269)']
learner | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(683)']
cerberus | Motilal Nehru National Institute of Technology Allahabad | [1, 'amr(189)']
ILLUMINATI | Birla Institute of Technology Mesra | [1, 'amr(614)']
PGP Encryption | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1031)']
algogeeks | Amrita School of Engineering, Amritapuri | [1, 'amr(1082)']
The insomniacs | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(275)']
exceptions | National Institute of Technology, Durgapur | [1, 'amr(1419)']
Aavn | Manipal Institute of Technology, Manipal | [1, 'amr(792)']
#include<techcoders@psg> | PSG College of Technology, Coimbatore | [1, 'amr(742)']
Eclipse | Madras Institute of Technology, Anna University | [1, 'amr(822)']
Coding Knights | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1046)']
BARROWS BROTHERS | M. S. Ramaiah Institute of Technology, Bengaluru | [1, 'amr(413)']
TheImmortals | International Institute of Information Technology, Hyderabad | [1, 'amr(1261)']
DJ Geeks | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'kan(220)']
WIIIC | International Institute of Information Technology, Hyderabad | [1, 'amr(1135)']
Scorpions | PSG College of Technology, Coimbatore | [1, 'amr(1368)']
CYBERFREAK | Shri Ramswaroop Memorial College of Engineering and Management | [1, 'kgp(372)']
AnonymousCoders | Thapar University | [1, 'amr(1440)']
BUBBLES | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(820)']
c-maniacs | College of Engineering, Guindy | [1, 'amr(1162)']
CET2 | College of Engineering, Trivandrum | [1, 'amr(1283)']
Raw Coders | Indian Institute of Technology Guwahati | [1, 'amr(1175)']
codegeeks | Rajiv Gandhi College Of Engg And Research, Nagpur | [1, 'amr(1347)']
JDKCoders | B.S.Abdur Rahman University, Chennai | [1, 'amr(1423)']
Inception | Indian Institute of Technology Guwahati | [1, 'kgp(393)']
Trilords | Delhi Technological University | [1, 'amr(1224)']
vssut_fame2 | Veer Surendra Sai University of Technology, Orissa | [1, 'kan(466)']
spanning_team | Indian Institute of Technology Roorkee | [1, 'amr(271)']
Hunter | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(1124)']
IngloriousBasterds | Indian Institute of Technology Delhi | [1, 'kgp(127)']
Akzeptiert | International Institute of Information Technology, Hyderabad | [1, 'amr(981)']
formicidaecoders | Jamia Millia Islamia | [1, 'amr(1091)']
Newbies | Indian Institute of Technology Kanpur | [1, 'kan(266)']
se7en_sins | The LNM Institute of Information Technology | [1, 'kgp(204)']
Triodes | International Institute of Information Technology, Hyderabad | [1, 'amr(982)']
Aficionado | Birla Institute of Technology Mesra | [1, 'amr(357)']
semi_colonists | National Institute of Technology Raipur | [1, 'amr(349)']
null_pointer | Birla Institute of Technology Mesra | [1, 'amr(490)']
Perceptrons | Indian Institute of Technology Madras | [1, 'amr(386)']
cold_hands | ABES Engineering College | [1, 'amr(477)']
random.next | International Institute of Information Technology, Hyderabad | [1, 'kan(282)']
itcoders | University Institute of Engineering and Technology, Punjab University | [1, 'amr(1173)']
Codebangerzz | Amrita School of Engineering, Amritapuri | [1, 'amr(1292)']
42_it_is | International Institute of Information Technology, Hyderabad | [1, 'amr(35)']
avv@code.h | Amrita School of Engineering, Bengaluru | [1, 'amr(1352)']
crackers | Madras Institute of Technology, Anna University | [1, 'kan(352)']
aerotech | Thakur College of Engineering and Technology | [1, 'amr(1018)']
Elementary | Indian Institute of Technology Delhi | [1, 'amr(351)']
ERROR_404 | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1414)']
hackerman | National Institute of Technology, Calicut | [1, 'amr(968)']
Cyber Ninjas | Amrita School of Engineering, Amritapuri | [1, 'amr(1128)']
Coders | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(1321)']
AlwaysLate | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(463)']
RAM (Random Access Memories) | Narula Institute of Technology | [1, 'kgp(380)']
SleepWalkers | The LNM Institute of Information Technology | [1, 'amr(626)']
ELLUZION | Indian Institute of Information Technology, Sri City | [1, 'kan(284)']
Bazinga | International Institute of Information Technology, Hyderabad | [1, 'amr(947)']
codesters | Birla Institute of Technology Mesra | [1, 'amr(1231)']
CODE BLOODED | Indian School of Mines | [1, 'amr(607)']
aces | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kgp(68)']
Riddler | National Institute of Technology, Calicut | [1, 'amr(325)']
Disqualified | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1329)']
liveToCode | Indian Institute of Technology, Varanasi | [1, 'amr(963)']
Serendipity | Institute of Engineering Technology, Ahmedabad | [1, 'kan(465)']
iLLuminati | National Institute of Technology, Calicut | [1, 'amr(1389)']
silicon_noobs | Indian Institute of Technology, Varanasi | [1, 'amr(484)']
Blitzkrieg | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(318)']
sparkx | Sardar Patel Institute Of Technology, Mumbai | [1, 'kan(156)']
Outswingers | International Institute of Information Technology, Hyderabad | [1, 'amr(1180)']
Dexter | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'kan(320)']
gregarious | Birla Institute of Technology Mesra | [1, 'amr(127)']
Logikickers | Institute of Engineering Technology, Ahmedabad | [1, 'kan(464)']
RDX | The LNM Institute of Information Technology | [1, 'kgp(240)']
prodigyinc | Indian Institute of Technology Mandi | [1, 'kan(327)']
codebusters | Birla Institute of Technology & Science Pilani, Goa Campus | [1, 'amr(561)']
CODEHANGOVER | Jaypee Institute of Information Technology | [1, 'kgp(322)']
HOLY KNIGHTS | National Institute of Technology, Durgapur | [1, 'kgp(363)']
buffer_overflow | Birla Institute of Technology & Science Pilani, Goa Campus | [1, 'amr(1044)']
(Code)^3 | National Institute of Technology, Calicut | [1, 'amr(1033)']
mantra | Rajalakshmi Institute of Technology, Tamil Nadu | [1, 'amr(1424)']
Coding Wizards | Vasavi College of Engineering | [1, 'amr(1374)']
punjabi_tadka | Indian Institute of Technology Delhi | [1, 'kan(121)']
factorial | Indian Institute of Technology Ropar | [1, 'amr(1177)']
Fibonacci-Loosers | Indian Institute of Technology Roorkee | [1, 'amr(442)']
themusketeers | Indian Institute of Information Technology, Allahabad | [1, 'amr(750)']
Agragami | National Institute of Technology, Kurukshetra | [1, 'kan(9)']
GoalChasers | Amrita University | [1, 'amr(1195)']
Code Sabbath | Thapar University | [1, 'kan(467)']
Esrevereverse | University Visvesvaraya College of Engineering, Bangalore | [1, 'kan(415)']
CodeName47 | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(323)']
learners | Jaypee Institute of Information Technology | [1, 'kgp(384)']
Code hackers | Karpagam College of Engineering, Coimbatore | [1, 'amr(1249)']
LONG_LONG_AGO | National Institute of Technology Tiruchirappalli | [1, 'amr(606)']
Alternative 3 | Indian Institute of Information Technology, Design and Manufacturing, Jabalpur | [1, 'kan(439)']
rajdhanicoders | Rajdhani College, University of Delhi | [1, 'kgp(182)']
3idiots | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(680)']
illustrious | MVSR Engineering College | [1, 'amr(607)']
Code Avengers | International Institute of Information Technology, Bangalore | [1, 'amr(737)']
theDifferenceEngine | Indian Institute of Technology, Jodhpur | [1, 'kan(335)']
CodeMagic | Indian Institute of Technology Guwahati | [1, 'kan(373)']
The Beginners | Graphic Era University | [1, 'kan(358)']
hashtag | Amrita School of Engineering, Coimbatore | [1, 'amr(1184)']
Codesters | Visvesvaraya National Institute of Technology, Nagpur | [1, 'kan(483)']
ntr | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'amr(1397)']
Kuch Bhi | Indian Institute of Technology Bombay | [1, 'amr(81)']
dexter | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(1111)']
DP Nahin Aati | Birla Institute of Technology & Science Pilani, Hyderabad Campus | [1, 'amr(343)']
Trinity | International Institute of Information Technology, Hyderabad | [1, 'amr(558)']
got-Root | Amrita School of Engineering, Amritapuri | [1, 'amr(728)']
THreeBy0 | Netaji Subhas Institute of Technology, New Delhi | [1, 'kan(25)']
#include<nyss.h> | Rajiv Gandhi College Of Engg And Research, Nagpur | [1, 'kan(371)']
Flipsters | Indian Institute of Information Technology, Allahabad | [1, 'amr(161)']
TheBacktrackers | National Institute of Technology, Jamshedpur | [1, 'kan(206)']
c0mpi1e_passi0n | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(390)']
Codegeeks | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'amr(1330)']
Error: team_name not declared | Amrita School of Engineering, Coimbatore | [1, 'amr(1087)']
victoriousRIG | National Institute of Technology, Jamshedpur | [1, 'kan(374)']
Xtroders | Thiagarajar College of Engineering | [1, 'amr(347)']
Kepuke | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(550)']
AC3P0 | Indian Institute of Technology Roorkee | [1, 'amr(24)']
Sleeper Cells | Madras Institute of Technology, Anna University | [1, 'amr(575)']
Eklavyaa | Indian Institute of Technology Ropar | [1, 'kgp(102)']
ByteMe | International Institute of Information Technology, Bangalore | [1, 'amr(882)']
dfu | Thapar University | [1, 'amr(597)']
lol | Amrita School of Engineering, Amritapuri | [1, 'amr(473)']
Obfuscators1 | Indian Institute of Information Technology, Allahabad | [1, 'amr(859)']
ByteMe | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kgp(191)']
prime_zuk | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(77)']
SMS | Madras Institute of Technology, Anna University | [1, 'amr(1034)']
#CODERS.h | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1386)']
CodeVIT | Vishwakarma Institute of Technology, Pune | [1, 'amr(921)']
WARush | International Institute of Information Technology, Hyderabad | [1, 'amr(495)']
Error 404 | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1166)']
MUSK | The LNM Institute of Information Technology | [1, 'amr(443)']
sharp_coderz | College of Engineering, Guindy | [1, 'amr(788)']
coders_reloaded | Indian Institute of Information Technology, Allahabad | [1, 'amr(865)']
Deception1 | International Institute of Information Technology, Hyderabad | [1, 'amr(892)']
Seniya | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'kgp(376)']
CodeEngines | Amrita University | [1, 'amr(1072)']
CET3 | College of Engineering, Trivandrum | [1, 'amr(1433)']
ninjas | Indian Institute of Technology Bombay | [1, 'amr(373)']
code crackers | Institute of Engineering & Management, Kolkata | [1, 'kan(461)']
typedef | Sri Shakthi Institute of Engineering and Technology | [1, 'amr(1413)']
sascoders | International Institute of Information Technology, Hyderabad | [1, 'amr(983)']
iamhodor | Birla Institute of Technology Mesra | [1, 'amr(374)']
Inspiron5 | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'kan(71)']
CrazyCoders | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'amr(895)']
B3M | Indian Institute of Technology Guwahati | [1, 'amr(867)']
AVDcoder | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1284)']
Atoms | Chandubhai S Patel Institute of Technology, Gujarat | [1, 'kgp(389)']
Recyclebin | Indian School of Mines | [1, 'kgp(83)']
Codor | Jaypee Institute of Information Technology | [1, 'kgp(350)']
NITKCoders | National Institute of Technology Karnataka | [1, 'amr(835)']
error404 | Manipal Institute of Technology, Manipal | [1, 'amr(907)']
WolfPack | Indian Institute of Information Technology, Allahabad | [1, 'amr(1065)']
The Matrix | Indian Institute of Information Technology, Allahabad | [1, 'amr(1200)']
code_noobs | Indian Institute of Information Technology, Allahabad | [1, 'amr(835)']
Tridents | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(613)']
primebase | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(989)']
IGNITED UNICORN | Indian Institute of Information Technology, Allahabad | [1, 'amr(118)']
l33tcl4n | Indian Institute of Technology, Varanasi | [1, 'kan(286)']
NITA_ICPC2 | National Institute of Technology Agartala | [1, 'amr(915)']
falcons | Indian Institute of Technology Bombay | [1, 'amr(345)']
NPhard | Indian Institute of Technology Delhi | [1, 'kan(137)']
TUCoders | Thapar University | [1, 'amr(234)']
#include | Bengal Engineering and Science University, Shibpur | [1, 'amr(1015)']
global_kaos | Amrita School of Engineering, Bengaluru | [1, 'amr(1434)']
gladiators | Indian Institute of Technology Ropar | [1, 'kan(394)']
TheIncredibles | Indian Institute of Technology Delhi | [1, 'kan(187)']
BlueHats | International Institute of Information Technology, Hyderabad | [1, 'amr(504)']
(Dys)Functional Coders | Indian Institute of Technology Delhi | [1, 'kan(56)']
death eater | Indian Institute of Technology Kanpur | [1, 'kgp(178)']
SkyFall | Govind Ballabh Pant Engineering College, New Delhi | [1, 'amr(638)']
Ghidorah | National Institute of Technology, Calicut | [1, 'amr(1068)']
AAM | International Institute of Information Technology, Hyderabad | [1, 'amr(767)']
ADPCODERZ | Shri Ramswaroop Memorial College of Engineering and Management | [1, 'kan(353)']
NITRBlackCoder | National Institute of Technology, Rourkela | [1, 'kgp(338)']
PowerPuffGirls | Karpagam College of Engineering, Coimbatore | [1, 'amr(1228)']
CODE RED | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(441)']
team_mait | Maharaja Agrasen Institute of Technology | [1, 'kan(479)']
TCE Coders D | Thiagarajar College of Engineering | [1, 'amr(793)']
infinity | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'kan(396)']
Algo Beings | Indian Institute of Technology Kanpur | [1, 'kgp(128)']
EYEOFTHENEEDLE | Indian Institute of Information Technology, Sri City | [1, 'kan(270)']
startcodon | Indian Institute of Science, Bangalore | [1, 'amr(281)']
Kraken | National Institute of Technology, Calicut | [1, 'amr(921)']
Decipher Dragons | Sri Sivasubramaniya Nadar College of Engineering, Chennai | [1, 'amr(961)']
CJS | Birla Institute of Technology Mesra | [1, 'amr(539)']
SudoCode | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(1335)']
Team Rocket | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(885)']
CodeIt! | Indian Institute of Technology Delhi | [1, 'kan(322)']
RohMeh | Abes Engineering college, Ghaziabad | [1, 'kgp(196)']
queryUs | Indian Institute of Technology Bombay | [1, 'amr(93)']
BLUES | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(278)']
Correct | The LNM Institute of Information Technology | [1, 'amr(1372)']
MeraBharatMahaan | Indian Institute of Technology Delhi | [1, 'amr(55)']
CodeCracker | Indian School of Mines | [1, 'kan(176)']
Infinity | Rashtreeya Vidyalaya College of Engineering, Bangalore | [1, 'amr(967)']
bitcoins | International Institute of Information Technology, Hyderabad | [1, 'amr(1315)']
Optimus | Institute of Engineering & Management, Kolkata | [1, 'kgp(279)']
codered_817 | Indian Institute of Information Technology, Allahabad | [1, 'amr(471)']
protocol | Indian Institute of Information Technology, Design and Manufacturing, Jabalpur | [1, 'kan(427)']
Pandu | International Institute of Information Technology, Hyderabad | [1, 'amr(1000)']
Co'ding_'Ba'd | International Institute of Information Technology, Hyderabad | [1, 'amr(506)']
KSP | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(800)']
Bruteforcers | Thapar University | [1, 'kan(117)']
Code racer | M. J. P. Rohilkhand University, Bareilly | [1, 'kgp(94)']
underdogs | International Institute of Information Technology, Hyderabad | [1, 'amr(1155)']
Mentalists | Indian Institute of Technology, Jodhpur | [1, 'kan(159)']
NITA_ICPC | National Institute of Technology Agartala | [1, 'amr(1053)']
bits please | Amrita School of Engineering, Bengaluru | [1, 'amr(1363)']
CodeSharks | National Institute of Technology Patna | [1, 'kan(421)']
bitbyte | Jaypee Institute of Information Technology | [1, 'kgp(252)']
C0nstruct0rs | Thapar University | [1, 'kan(363)']
alchemists | Indian Institute of Technology Ropar | [1, 'kgp(93)']
sigma | International Institute of Information Technology, Hyderabad | [1, 'amr(644)']
Alpha_Coders | Indian Institute of Information Technology, Allahabad | [1, 'amr(104)']
Next_Gen_Coders | Institute of Engineering & Management, Kolkata | [1, 'kgp(221)']
Topcoders1 | International Institute of Information Technology, Hyderabad | [1, 'amr(1045)']
GEC828793 | Gudlavalleru Engineering College, Gudlavalleru | [1, 'amr(861)']
Infamous_Â©oders | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1432)']
Randomizer | Madras Institute of Technology, Anna University | [1, 'amr(100)']
spectrum | Sir M Visveswaraya Institute of Technology, Bangalore | [1, 'kan(435)']
Binary Blues | Hindustan University | [1, 'amr(1410)']
the_dag | National Institute of Technology Warangal | [1, 'kan(273)']
terminators | Birla Institute of Technology Mesra | [1, 'amr(728)']
Code Junkies | International Institute of Information Technology, Hyderabad | [1, 'amr(1378)']
The Ironblades | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1364)']
SUM3 | National Institute of Technology, Calicut | [1, 'amr(1394)']
VJCS1 | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1411)']
xorand22 | Indian Institute of Technology Mandi | [1, 'amr(355)']
Optimal3 | Indian Institute of Technology, Varanasi | [1, 'amr(27)']
encodejps | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(368)']
autobots | Bipin Tripathi Kumaon Institute of Technology, Dwarahat | [1, 'kan(110)']
BerserK | Jamia Millia Islamia | [1, 'kan(445)']
Sherlocked | Birla Institute of Technology Mesra | [1, 'amr(904)']
MIND BOGGLER | National Institute of Technology, Durgapur | [1, 'kgp(387)']
Fuzzy-Logic | Indian Institute of Technology Roorkee | [1, 'amr(879)']
GIAT | Dr. B. R. Ambedkar National Institute of Technology, Jalandhar | [1, 'amr(447)']
Asterisk | International Institute of Information Technology, Hyderabad | [1, 'amr(422)']
nested++loop | Birla Institute of Technology Mesra | [1, 'amr(719)']
TrojonHorsev2 | Indian Institute of Information Technology, Allahabad | [1, 'amr(362)']
Wait_For_It | Indian Institute of Technology Madras | [1, 'amr(78)']
Exuberant | Indian Institute of Technology Kanpur | [1, 'kan(172)']
NPCompete | Pimpri Chinchwad College of Engineering, Pune | [1, 'kan(250)']
nittcoders | National Institute of Technology Tiruchirappalli | [1, 'amr(439)']
Dss | College of Engineering and Technology, Bhubaneswar | [1, 'kgp(349)']
Ncoders | Chandubhai S Patel Institute of Technology, Gujarat | [1, 'kgp(304)']
darkCoders | University Institute of Engineering and Technology, Punjab University | [1, 'kgp(391)']
worstcoders | Madras Institute of Technology, Anna University | [1, 'amr(834)']
delta | International Institute of Information Technology, Hyderabad | [1, 'kgp(201)']
krabathor1 | International Institute of Information Technology, Hyderabad | [1, 'amr(94)']
cold_hands | Abes Engineering college, Ghaziabad | [1, 'kan(378)']
DP Nahi Aati | Birla Institute of Technology & Science Pilani, Hyderabad Campus | [1, 'kan(182)']
The Marauders | International Institute of Information Technology, Hyderabad | [1, 'amr(199)']
Turing's_Apple | Indian Institute of Technology Guwahati | [1, 'amr(67)']
NightFurry009 | National Institute of Technology, Jamshedpur | [1, 'amr(1065)']
Inglourious Bastards | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(1301)']
3RISK | Amrita School of Engineering, Bengaluru | [1, 'amr(1201)']
namespacelpu | Lovely Professional University | [1, 'kan(411)']
nullpointers | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'kan(289)']
ASP_CODERS | National Institute of Technology Raipur | [1, 'amr(516)']
Vision | Indian Institute of Information Technology, Allahabad | [1, 'amr(47)']
    init  | Indian Institute of Technology Roorkee | [1, 'amr(668)']
The Fellowship | Amrita School of Engineering, Bengaluru | [1, 'amr(1178)']
manic_coders | Indian Institute of Technology Patna | [1, 'kgp(332)']
transcendence | International Institute of Information Technology, Hyderabad | [1, 'amr(461)']
Code wizards | Karpagam College of Engineering, Coimbatore | [1, 'amr(1269)']
EdgeOfTomorrow | Indian Institute of Technology Kharagpur | [1, 'amr(123)']
Alpha | International Institute of Information Technology, Hyderabad | [1, 'amr(971)']
Codecrackers | International Institute of Information Technology, Hyderabad | [1, 'kan(225)']
EdgeOfTomorrowKGP | Indian Institute of Technology Kharagpur | [1, 'kgp(262)']
qwerty | Jaypee Institute of Information Technology | [1, 'kgp(314)']
IMMORTAL5 | International Institute of Information Technology, Hyderabad | [1, 'amr(1328)']
bcjunta | Indian Institute of Technology Bombay | [1, 'amr(1313)']
Apex Coders | Gitam University | [1, 'kgp(410)']
Avengers | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'kgp(397)']
OPTIPLEX-ARS | National Institute of Technology, Calicut | [1, 'amr(1143)']
HIT FOR BRAINS | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1096)']
Not my forte | International Institute of Information Technology, Hyderabad | [1, 'amr(1085)']
DCODERS | Delhi Technological University | [1, 'amr(128)']
Ctrl+Shift+N | International Institute of Information Technology, Hyderabad | [1, 'amr(872)']
one_last_time | Indian Institute of Information Technology, Allahabad | [1, 'amr(96)']
WAmonster | Delhi Technological University | [1, 'amr(84)']
Thunder | Netaji Subhas Institute of Technology, New Delhi | [1, 'kan(451)']
armaturersbvb | B. V. Bhoomaraddi College of Engineering & Technology | [1, 'amr(1083)']
Persistent | Motilal Nehru National Institute of Technology Allahabad | [1, 'amr(201)']
CODE CALYPSE | Indian Institute of Technology Patna | [1, 'kgp(396)']
jack | Motilal Nehru National Institute of Technology Allahabad | [1, 'amr(173)']
Light_coders[4] | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(463)']
Bug Exterminators | Institute of Technology, Nirma University | [1, 'kan(426)']
begin.code | Delhi Technological University | [1, 'amr(348)']
Aces | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(934)']
breakfree | Institute of Engineering & Management, Kolkata | [1, 'amr(85)']
koder | Indian Institute of Information Technology, Allahabad | [1, 'amr(1209)']
e-LEMON-ators | Karpagam College of Engineering, Coimbatore | [1, 'amr(1239)']
ignite | Rajiv Gandhi College Of Engg And Research, Nagpur | [1, 'amr(1442)']
CodeBrewers | Birla Institute of Technology & Science Pilani, Goa Campus | [1, 'amr(1293)']
Bazinga1 | International Institute of Information Technology, Bangalore | [1, 'amr(784)']
San | Amrita School of Engineering, Coimbatore | [1, 'amr(1223)']
Berserk | Jamia Millia Islamia | [1, 'amr(958)']
Myteammatessuck | National Institute of Technology Tiruchirappalli | [1, 'amr(541)']
VBS | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(910)']
lumocod | National Institute of Technology Tiruchirappalli | [1, 'amr(801)']
codercsee | Amrita School of Engineering, Coimbatore | [1, 'amr(1246)']
strcat | International Institute of Information Technology, Hyderabad | [1, 'amr(341)']
Coderush | National Institute of Technology, Calicut | [1, 'amr(1350)']
#SMS | Madras Institute of Technology, Anna University | [1, 'kan(195)']
Rush | National Institute of Technology, Durgapur | [1, 'kgp(368)']
Sky4orce | International Institute of Information Technology, Hyderabad | [1, 'amr(502)']
CodeBusters | Harcourt Butler Technological Institute, Kanpur | [1, 'kan(420)']
023 | Delhi Technological University | [1, 'kan(129)']
FADE2BLACK | National Institute of Technology, Jamshedpur | [1, 'amr(918)']
vssut_pride1 | Veer Surendra Sai University of Technology, Orissa | [1, 'amr(591)']
code warriors | Jaypee Institute of Information Technology | [1, 'kgp(67)']
oxymorons | Madras Institute of Technology, Anna University | [1, 'amr(1140)']
the_illusionists | Indian Institute of Technology, Jodhpur | [1, 'kan(274)']
